17,0,30,9,39,34,150,150,33,150,28,41,150,80,150,43,150,150,93,150,95,150,150,57,150,39,8,17,40,150,48,150,0,14,22,14,0,51,40,125,28,0,0,38,150,150,22,150,
111,30,9,73,34,0,0,0,150,13,0,150,150,150,150,150,56,27,150,0,71,150,33,76,150,0,0,49,150,2,150,150,13,150,74,23,6,14,150,34,150,0,150,0,129,29,22,42,
150,0,36,25,24,27,64,38,44,150,0,78,150,80,150,0,19,150,24,0,57,150,150,30,0,150,67,42,0,52,150,62,0,11,29,9,150,0,20,22,53,150,44,9,13,0,42,12,
28,55,150,43,150,150,30,58,128,22,32,150,9,22,63,150,150,77,29,111,150,28,150,150,11,150,150,57,17,11,26,48,150,39,45,150,150,150,0,88,32,0,63,0,93,0,150,27,
62,0,0,51,150,41,0,150,19,150,0,47,37,39,6,150,0,0,49,150,38,44,8,150,150,150,56,150,150,45,18,150,150,150,150,10,15,62,3,150,72,13,8,75,30,150,49,31,
25,0,150,30,5,150,0,67,150,150,26,34,150,0,12,25,0,0,150,150,150,150,23,150,48,0,150,60,36,150,0,61,97,117,150,0,150,31,150,0,32,17,150,150,0,150,82,150,
13,44,7,150,150,150,150,150,150,28,70,28,150,150,29,0,14,25,35,0,27,36,16,28,150,150,0,0,67,48,0,0,37,13,150,150,150,150,150,37,150,25,72,150,9,69,70,0,
0,150,38,49,17,150,150,9,150,42,75,150,51,59,69,41,150,43,58,150,150,0,150,62,150,0,0,25,150,23,33,44,44,48,65,51,150,20,35,81,83,43,53,26,26,1,150,7,
150,150,21,150,48,138,150,150,21,0,22,45,46,64,83,70,56,42,150,21,150,150,150,49,150,150,0,34,98,0,150,26,0,150,34,150,0,150,31,32,150,63,150,45,0,45,0,68,
0,2,150,39,18,150,27,150,150,37,29,7,150,115,39,55,52,80,127,150,54,150,150,34,2,62,46,150,27,39,39,150,29,58,150,44,150,150,0,150,54,155,150,0,64,68,0,150,
150,150,150,150,53,150,31,47,20,0,69,74,85,49,41,25,37,43,150,150,0,150,33,16,70,13,4,6,131,0,150,150,150,150,17,0,49,68,29,43,0,50,150,150,58,87,150,21,
53,30,34,0,150,18,36,40,6,17,35,150,150,14,0,0,0,38,150,150,104,0,80,44,34,150,0,150,0,11,48,0,85,5,0,51,150,23,150,36,150,21,25,150,27,0,150,45,
50,60,0,146,49,0,78,150,0,62,150,19,71,82,105,48,150,0,150,41,51,38,10,150,0,56,76,143,79,150,150,49,41,0,119,10,25,0,115,150,150,65,0,33,38,150,61,0,
