17,12,7,49,8,42,6,49,8,7,48,4,48,3,11,48,7,48,9,5,6,3,10,11,5,18,6,27,11,48,48,49,48,8,32,26,6,22,4,48,3,48,4,10,11,13,9,6,4,30,8,11,8,7,8,23,48,48,2,12,3,17,2,150,3,10,3,6,16,49,49,6,18,5,150,14,150,12,48,49,12,11,5,6,4,48,44,4,5,8,7,49,49,11,4,17,
48,4,13,3,5,2,44,10,2,12,48,49,3,4,48,19,48,16,150,2,7,14,49,40,18,18,28,10,9,49,49,5,150,8,6,3,2,49,48,4,150,150,150,43,150,34,2,6,48,14,48,150,14,40,10,24,150,28,150,49,3,8,16,12,38,6,48,12,16,11,8,2,12,49,18,7,30,8,150,6,6,18,3,48,150,5,48,48,14,30,22,150,49,48,49,48,
48,3,48,150,16,19,48,3,49,48,150,21,10,6,6,6,5,22,14,2,3,5,10,49,49,49,2,49,48,10,27,8,48,11,3,16,48,150,150,49,48,34,7,8,2,3,14,5,49,18,5,16,48,150,6,14,150,10,8,12,13,6,16,48,150,4,6,48,5,3,48,8,49,48,150,14,11,48,42,48,150,8,7,8,48,3,22,5,48,4,6,4,48,48,150,6,
8,6,22,10,6,3,150,48,14,48,48,150,150,4,20,48,150,47,3,4,8,49,5,8,48,4,150,49,48,10,2,49,11,7,6,34,14,5,3,8,26,10,49,10,14,6,8,25,38,3,16,10,150,5,48,49,4,28,48,8,3,48,5,48,49,8,12,150,150,150,4,48,19,14,48,7,150,5,3,7,11,6,49,49,150,3,3,12,3,30,3,4,2,14,48,10,
48,49,15,5,20,49,19,14,16,46,49,49,18,2,8,48,10,48,6,48,2,49,48,7,4,150,49,5,150,12,48,6,24,48,8,49,48,48,6,48,49,3,20,6,12,49,5,14,6,49,49,20,4,150,49,14,42,48,48,8,48,28,49,49,48,14,10,48,8,4,16,5,48,48,16,3,8,48,10,48,49,48,48,7,48,4,48,6,4,48,4,49,39,10,48,18,
4,49,28,49,150,48,5,26,48,18,48,150,48,49,8,26,19,8,49,48,4,150,10,150,48,48,8,24,5,24,48,14,48,48,16,12,48,8,18,44,48,7,49,150,30,48,4,18,48,11,22,48,4,49,48,49,13,150,8,6,49,18,49,16,49,48,38,5,49,150,28,3,5,12,49,49,12,48,48,10,48,11,14,10,16,14,30,17,49,4,6,15,49,3,8,16,
4,49,48,150,150,48,48,49,48,9,150,49,49,21,32,48,3,6,48,48,48,10,16,48,23,150,9,48,48,6,13,49,20,49,10,11,150,150,49,16,48,48,10,49,7,34,11,48,48,5,48,10,14,10,4,12,3,8,48,14,49,2,49,48,48,10,16,8,38,10,6,48,48,5,9,10,49,24,150,48,43,48,150,14,32,150,48,26,49,49,8,150,8,8,8,49,
5,48,48,3,48,48,20,8,48,49,48,48,48,22,11,150,6,3,48,49,150,150,20,5,18,6,8,49,48,8,48,150,18,7,48,5,42,3,11,6,14,26,12,48,49,150,41,9,150,9,10,150,44,48,10,10,48,48,49,48,10,10,48,49,10,49,7,150,7,48,38,10,49,5,48,11,48,48,48,20,3,48,48,13,48,48,11,49,14,150,48,3,49,10,49,14,
6,20,150,11,8,48,48,12,150,23,5,48,48,48,34,29,8,10,48,49,8,48,49,150,12,48,5,8,48,150,48,48,7,10,48,38,48,48,10,150,12,32,48,150,5,5,48,7,22,48,17,29,10,8,150,49,150,8,12,48,11,10,150,11,48,48,48,42,28,49,10,34,6,48,27,49,6,48,49,10,48,49,48,48,48,48,8,2,150,40,5,3,21,12,5,150,
34,48,8,20,48,150,48,49,8,48,48,4,150,25,10,48,8,150,49,8,14,49,48,26,48,49,48,49,48,48,10,48,38,6,48,30,48,48,16,150,9,150,18,10,10,5,48,49,48,7,48,30,150,48,5,12,48,48,48,48,48,48,48,5,10,48,49,48,10,49,12,49,48,49,16,48,48,48,16,46,5,28,48,6,12,12,49,22,8,150,10,48,5,7,5,49,
