Tick,Step,Animal_elevation,Animal_gain_from_elevation,Animal_reproduce,BioEnergy,Rule,0_Position,1_Position,ID
1,1,60,5,5,5,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
1,1,87,5,5,-5,R4 - Death by BioEnergy loss,48.0,2.0,a84fbf35-156d-4cd6-afc3-b52773874ab3
2,2,120,5,5,17,R1 - Move up in elevation,17.0,16.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
2,2,55,5,5,17,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
2,2,185,5,5,10,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
2,2,137,5,5,9,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
2,2,137,5,5,7,R1 - Move up in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
2,2,72,5,5,11,R2 - Stay at same elevation,3.0,13.0,6ccd3974-8638-426c-be3c-9782bd359a7b
2,2,95,5,5,5,R1 - Move up in elevation,44.0,17.0,c92fb876-d09d-4c88-ab4f-85328d780160
2,2,104,5,5,11,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
2,2,165,5,5,8,R1 - Move up in elevation,31.0,2.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
2,2,67,5,5,5,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
2,2,139,5,5,9,R2 - Stay at same elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
2,2,100,5,5,11,R1 - Move up in elevation,32.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
2,2,76,5,5,11,R1 - Move up in elevation,4.0,42.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
2,2,166,5,5,8,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
2,2,103,5,5,11,R1 - Move up in elevation,22.0,15.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
2,2,146,5,5,-3,R4 - Death by BioEnergy loss,15.0,39.0,35f01578-1566-4440-8f4a-be77cf0d9b08
2,2,208,5,5,11,R1 - Move up in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
2,2,60,5,5,7,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
3,3,122,5,5,21,R1 - Move up in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
3,3,159,5,5,-1,R4 - Death by BioEnergy loss,35.0,9.0,9399126a-015e-468d-a34a-2cfd6e8fde05
3,3,18,5,5,3,R2 - Stay at same elevation,43.0,31.0,a8780678-5816-4bc4-8241-546317142707
3,3,55,5,5,11,R3 - Move down in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
3,3,185,5,5,4,R3 - Move down in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
3,3,137,5,5,13,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
3,3,137,5,5,11,R1 - Move up in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
3,3,74,5,5,15,R1 - Move up in elevation,3.0,14.0,6ccd3974-8638-426c-be3c-9782bd359a7b
3,3,95,5,5,-1,R4 - Death by BioEnergy loss,44.0,17.0,c92fb876-d09d-4c88-ab4f-85328d780160
3,3,104,5,5,10,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
3,3,169,5,5,2,R3 - Move down in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
3,3,67,5,5,9,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
3,3,139,5,5,13,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
3,3,106,5,5,10,R2 - Stay at same elevation,31.0,26.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
3,3,88,5,5,10,R2 - Stay at same elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
3,3,166,5,5,2,R3 - Move down in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
3,3,110,5,5,10,R2 - Stay at same elevation,23.0,16.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
3,3,208,5,5,15,R1 - Move up in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
3,3,60,5,5,1,R3 - Move down in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
4,4,122,5,5,15,R3 - Move down in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
4,4,36,5,5,2,R2 - Stay at same elevation,42.0,32.0,a8780678-5816-4bc4-8241-546317142707
4,4,55,5,5,15,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
4,4,185,5,5,8,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
4,4,137,5,5,17,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
4,4,137,5,5,10,R2 - Stay at same elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
4,4,92,5,5,19,R1 - Move up in elevation,3.0,15.0,6ccd3974-8638-426c-be3c-9782bd359a7b
4,4,104,5,5,14,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
4,4,169,5,5,6,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
4,4,67,5,5,13,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
4,4,139,5,5,17,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
