AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
80,0,13,12,12,11,10,10,9,8,8,10,0,0,0.0,0,21,32
81,0,48,48,47,48,48,47,48,47,47,48,0,0,0.0,0,6,45
82,0,48,49,49,49,49,49,49,49,49,49,0,0,0.0,0,41,5
83,0,27,28,29,25,26,27,23,24,25,26,0,0,0.0,0,35,30
84,0,0,0,0,26,27,29,26,27,29,27,0,0,0.0,0,25,49
85,0,30,30,30,32,32,32,34,34,34,32,0,0,0.0,0,42,19
86,0,32,34,37,32,34,36,32,34,36,34,0,0,0.0,0,29,45
87,0,1,2,3,2,3,4,4,5,6,3,0,0,0.0,0,24,22
88,0,28,30,32,28,30,32,28,30,32,30,0,0,0.0,0,27,4
89,0,7,9,11,6,8,10,5,7,9,8,0,0,0.0,0,27,28
90,0,39,39,38,41,41,40,43,42,41,41,0,0,0.0,0,6,14
91,0,16,15,14,18,17,16,20,19,18,17,0,0,0.0,0,20,15
92,0,48,48,49,48,48,49,48,49,49,48,0,0,0.0,0,39,2
93,0,46,45,44,46,45,44,46,45,44,45,0,0,0.0,0,9,2
94,0,40,40,41,38,39,39,36,37,37,39,0,0,0.0,0,43,34
95,0,33,32,31,35,34,33,37,36,35,34,0,0,0.0,0,9,16
0,1,49,49,49,49,49,49,0,0,0,49,49,0,0.0,0,4,0
1,1,38,38,37,40,40,39,42,42,41,40,38,2,2.0,2,4,15
2,1,26,26,26,25,25,25,25,24,24,25,25,0,0.0,0,4,27
3,1,45,46,46,46,47,47,47,47,48,47,48,-1,0.0,0,41,10
4,1,25,23,23,24,22,22,23,21,21,22,21,1,1.0,1,20,39
5,1,33,31,29,32,30,28,31,29,27,30,27,3,3.0,3,15,38
6,1,26,26,26,25,25,25,25,25,25,25,25,0,0.0,0,45,26
7,1,25,25,0,25,25,0,26,26,0,25,25,0,0.0,0,47,24
8,1,12,13,14,10,11,12,8,9,10,11,10,1,1.0,1,24,32
9,1,30,32,33,28,30,31,26,28,29,30,26,4,4.0,4,32,34
10,1,30,32,34,30,32,34,30,32,34,32,30,2,2.0,2,28,44
11,1,14,14,14,16,16,16,18,18,18,16,14,2,2.0,2,22,15
12,1,28,30,31,26,28,29,24,25,27,28,24,4,4.0,4,32,33
13,1,49,49,49,49,49,48,49,49,48,49,49,0,0.0,0,4,48
14,1,44,45,46,44,45,46,44,45,46,45,45,0,0.0,0,35,1
15,1,43,42,41,43,41,40,42,41,39,41,39,2,2.0,2,10,40
