AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
85,120,0.0,0.0,0.0,0.6875,0.375,0.5625,0.875,0.75,1.0,6,0,6,10.571428,592,48,49
86,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,7.8245616,446,50,50
87,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54545456,0.8181818,0,0,0,12.484848,412,48,50
88,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,14.782609,340,50,50
89,120,0.0,0.0,0.0,0.0,0.0,0.0,0.71875,1.0,0.65625,0,0,0,11.576923,602,32,50
90,120,0.0,0.0,0.0,0.0,0.0,0.0,0.71875,1.0,0.65625,0,0,0,13.729167,659,32,50
91,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,8.157895,155,50,50
92,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62857145,0.6857143,0,0,0,10.583333,508,35,50
93,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54545456,0.8181818,0,0,0,10.019608,511,48,50
94,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.25,125,50,50
95,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.1666665,111,50,50
0,121,0.5625,0.0,0.0,1.0,0.0,0.0,0.9375,0.0,0.0,0,0,0,9.711111,437,50,48
1,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,17.333334,312,50,49
2,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,9.0,135,50,49
3,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,8.590909,189,50,49
4,121,0.0,0.0,0.0,0.625,0.71875,1.0,0.78125,0.53125,1.0,23,20,3,24.865385,1293,31,49
5,121,0.5625,0.0,0.0,1.0,0.0,0.0,0.9375,0.0,0.0,0,0,0,9.722222,350,50,48
6,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.62857145,0.6857143,0,0,0,10.527273,579,35,50
7,121,0.0,0.0,0.0,0.8,0.525,0.875,0.8,1.0,0.675,21,0,21,13.5625,651,33,49
8,121,0.3529412,0.5294118,0.0,0.7058824,0.9411765,0.0,1.0,0.88235295,0.0,16,12,4,11.476191,482,49,48
9,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,9.034483,262,50,49
10,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666667,0.76666665,0,0,0,21.826086,1004,30,50
11,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,10.380953,218,50,50
12,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,9.416667,339,50,49
13,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.87096775,0.9354839,0,0,0,17.25,552,39,50
14,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,9,-9,8.5,195,50,49
15,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54545456,0.8181818,0,0,0,12.3125,197,48,50
16,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,10.448979,512,50,50
17,121,0.0,0.0,0.0,0.0,0.0,0.0,0.71153843,0.84615386,1.0,0,44,-44,18.465517,1027,18,50
18,121,0.9705882,0.4117647,0.7352941,1.0,0.85294116,0.7352941,0.85294116,0.9117647,0.6764706,29,31,-2,8.448276,488,32,44
19,121,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,1.0,0.0,0,0,0,10.478261,241,49,50
20,121,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818,0.8787879,1.0,0,0,0,12.529411,639,40,50
21,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.7083333,0,0,0,7.793103,452,45,50
22,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,9.511628,409,50,50
23,121,0.0,0.0,0.0,1.0,0.8611111,0.8333333,0.8611111,0.5,0.6666667,31,0,31,25.781818,1418,28,49
24,121,0.9444444,0.6111111,0.33333334,0.5,0.7777778,0.6666667,0.8333333,1.0,0.9444444,14,18,-4,9.035714,502,47,48
25,121,0.0,0.0,0.0,0.375,0.5625,0.0,0.75,1.0,0.0,9,0,9,8.0625,129,49,49
26,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,7.714286,54,50,49
27,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,10.441176,355,50,49
28,121,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818,0.8787879,1.0,0,0,0,24.04878,986,40,50
29,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,9.380953,197,50,49
30,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,6.714286,94,50,50
31,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8095238,0.52380955,0,0,0,16.764706,570,46,50
32,121,0.0,0.0,0.0,0.0,0.0,0.0,0.7741935,0.61290324,1.0,0,0,0,12.894737,490,37,50
33,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,7.0,231,50,50
34,121,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,1.0,0.0,0,0,0,7.6666665,92,49,50
35,121,0.8627451,0.627451,0.6666667,1.0,0.3529412,0.29411766,0.7058824,0.4509804,0.5686275,18,32,-14,32.649124,1847,22,48
36,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,11.916667,143,50,50
37,121,0.0,0.0,0.0,1.0,0.90384614,0.84615386,0.75,0.53846157,0.9807692,47,0,47,26.068966,1512,20,49
38,121,0.6111111,0.33333334,0.5,0.7777778,0.6666667,0.8888889,1.0,0.9444444,0.8333333,12,6,6,8.631579,492,48,48
39,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8095238,0.52380955,0,0,0,14.0,406,46,50
40,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,9.952381,418,50,50
41,121,0.0,0.0,0.0,0.0,0.0,0.0,0.61290324,1.0,0.87096775,0,0,0,7.5094337,398,38,50
42,121,0.3846154,0.5,0.0,0.0,1.0,0.0,0.46153846,0.42307693,0.0,26,11,15,10.403509,593,49,37
43,121,0.0,0.0,0.0,0.0,0.0,0.0,0.8787879,1.0,0.3939394,0,0,0,15.272727,672,41,50
44,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,8.833333,318,50,49
45,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,9.166667,385,50,50
46,121,1.0,0.0,0.0,0.42307693,0.0,0.0,0.9230769,0.0,0.0,0,0,0,11.407408,616,50,36
47,121,0.0,0.0,0.0,0.0,0.0,0.0,0.9142857,0.6,1.0,0,0,0,17.66,883,33,50
48,121,0.0,0.0,0.0,1.0,0.90384614,0.84615386,0.75,0.53846157,0.9807692,47,51,-4,31.571428,1764,20,49
49,121,0.0,0.0,0.0,0.5625,0.0,0.0,1.0,0.0,0.0,0,0,0,8.105263,154,50,49
50,121,0.0,0.0,0.0,0.375,0.5625,0.0,0.75,1.0,0.0,9,0,9,9.727273,321,49,49
51,121,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.71875,1.0,0,0,0,21.018183,1156,31,50
52,121,0.0,0.0,0.0,0.0,0.0,0.0,0.7741935,0.61290324,1.0,0,0,0,19.027027,704,37,50
53,121,1.0,0.675,0.525,0.9,0.875,0.85,0.8,0.8,0.7,35,36,-1,9.8,587,34,47
54,121,0.0,0.0,0.0,0.0,0.0,0.0,0.5416667,0.875,1.0,0,0,0,13.358974,521,43,50
55,121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54545456,0.8181818,0,0,0,8.867925,470,48,50
