AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
80,0,0,0,0,2,2,2,4,4,4,2,0,0,0.0,0,33,27
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,48,15
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,10,40
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,43,45
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,45,41
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,7
86,0,4,4,4,6,6,5,6,5,4,6,0,0,0.0,0,33,25
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,42
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,14,43
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,33,14
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,39
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,8,2
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,30,37
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,14,47
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,43,33
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,42
0,1,2,2,2,2,2,2,2,2,2,2,2,0,0.0,0,1,25
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,35,48
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,43
3,1,6,10,10,10,13,13,24,22,18,13,10,3,3.0,3,23,29
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,41
5,1,0,0,0,1,1,1,3,2,2,1,0,1,1.0,1,30,28
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,39,5
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,31,46
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,13
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,30,41
10,1,2,1,0,2,1,0,2,1,0,1,0,1,1.0,1,26,47
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,11,6
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,43
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,43,47
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,12,45
