AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
0,0,8,8,8,10,10,10,12,12,11,10,0,0,0.0,0,44,35
1,0,37,35,33,38,36,34,38,36,34,36,0,0,0.0,0,33,26
2,0,25,25,25,25,25,25,24,24,24,25,0,0,0.0,0,3,24
3,0,18,18,18,20,20,20,22,22,22,20,0,0,0.0,0,45,30
4,0,18,16,14,19,17,15,19,17,15,17,0,0,0.0,0,31,42
5,0,16,17,17,18,19,19,20,21,21,19,0,0,0.0,0,7,31
6,0,12,13,15,14,15,17,16,17,19,15,0,0,0.0,0,12,35
7,0,25,26,27,23,24,25,21,22,23,24,0,0,0.0,0,11,20
8,0,18,16,13,18,16,13,18,16,14,16,0,0,0.0,0,31,46
9,0,25,25,25,25,25,25,25,25,25,25,0,0,0.0,0,24,48
10,0,42,42,41,40,40,39,38,38,37,40,0,0,0.0,0,25,18
11,0,25,24,23,25,24,23,25,24,23,24,0,0,0.0,0,26,46
12,0,21,19,17,20,18,16,19,17,15,18,0,0,0.0,0,32,12
13,0,12,11,11,10,10,9,8,8,8,10,0,0,0.0,0,45,15
14,0,4,3,3,4,3,2,4,3,2,3,0,0,0.0,0,39,5
15,0,49,50,50,49,50,50,48,49,49,50,0,0,0.0,0,23,24
16,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,0,4,5
17,0,9,9,9,8,8,8,6,6,6,8,0,0,0.0,0,48,14
18,0,1,2,2,1,1,1,1,1,1,1,0,0,0.0,0,1,7
19,0,22,23,24,22,24,25,22,24,25,24,0,0,0.0,0,21,44
20,0,25,25,25,25,25,25,25,25,25,25,0,0,0.0,0,3,25
21,0,18,18,18,20,20,20,22,22,22,20,0,0,0.0,0,4,30
22,0,17,15,13,18,16,14,19,17,15,16,0,0,0.0,0,32,40
23,0,10,11,12,9,9,11,7,8,9,9,0,0,0.0,0,10,13
24,0,8,8,8,9,9,9,11,11,11,9,0,0,0.0,0,48,35
25,0,28,31,33,26,28,31,24,26,29,28,0,0,0.0,0,17,17
26,0,3,4,5,3,4,5,3,4,5,4,0,0,0.0,0,10,45
27,0,18,18,18,16,15,15,13,13,13,15,0,0,0.0,0,47,18
28,0,5,4,3,5,4,3,5,4,3,4,0,0,0.0,0,38,4
29,0,0,2,2,0,3,3,0,4,4,3,0,0,0.0,0,0,40
30,0,13,11,9,13,11,10,14,12,10,11,0,0,0.0,0,33,46
31,0,16,16,17,18,18,19,20,20,21,18,0,0,0.0,0,6,31
32,0,21,20,18,21,20,18,22,20,18,20,0,0,0.0,0,29,48
33,0,15,13,11,15,13,11,16,13,11,13,0,0,0.0,0,32,48
34,0,0,0,0,6,8,9,6,8,9,8,0,0,0.0,0,13,49
35,0,4,4,4,3,3,3,3,2,2,3,0,0,0.0,0,44,10
36,0,48,48,47,46,46,45,44,44,43,46,0,0,0.0,0,25,21
37,0,16,18,20,15,17,19,14,16,18,17,0,0,0.0,0,16,11
38,0,9,8,7,10,9,7,11,9,8,9,0,0,0.0,0,36,40
39,0,5,5,6,4,5,5,3,4,5,5,0,0,0.0,0,9,9
40,0,34,36,37,32,34,35,31,32,33,34,0,0,0.0,0,21,16
41,0,26,28,31,28,31,33,31,33,35,31,0,0,0.0,0,17,32
42,0,10,9,9,9,8,7,7,7,6,8,0,0,0.0,0,40,13
