AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
80,0,9,9,11,10,11,12,12,13,14,11,0,0,0.0,0,10,36
81,0,23,24,25,23,24,25,23,24,25,24,0,0,0.0,0,22,48
82,0,42,40,38,42,40,38,42,40,38,40,0,0,0.0,0,31,25
83,0,27,27,28,28,28,29,29,29,30,28,0,0,0.0,0,23,39
84,0,32,34,35,34,36,37,37,38,39,36,0,0,0.0,0,21,33
85,0,20,19,19,22,21,21,24,23,23,21,0,0,0.0,0,40,30
86,0,26,28,31,28,31,33,31,33,35,31,0,0,0.0,0,17,32
87,0,10,11,11,8,9,9,7,7,8,9,0,0,0.0,0,7,14
88,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,45,49
89,0,31,28,26,28,26,24,26,24,22,26,0,0,0.0,0,32,17
90,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,0,4,46
91,0,23,22,22,21,20,20,19,18,18,20,0,0,0.0,0,42,20
92,0,32,34,36,32,34,36,31,33,35,34,0,0,0.0,0,14,24
93,0,21,22,24,23,25,26,25,27,29,25,0,0,0.0,0,14,32
94,0,27,25,23,25,23,21,24,22,20,23,0,0,0.0,0,30,13
95,0,29,31,32,27,29,31,25,27,29,29,0,0,0.0,0,19,15
0,1,27,25,22,25,23,21,23,21,19,23,21,2,2.0,2,31,14
1,1,3,4,5,3,4,5,3,4,5,4,3,1,1.0,1,10,1
2,1,2,2,2,1,1,1,1,1,1,1,1,0,0.0,0,45,7
3,1,16,14,12,15,13,11,15,13,11,13,16,-3,0.0,0,33,9
4,1,8,6,5,8,6,5,8,6,5,6,6,0,0.0,0,36,1
5,1,29,27,26,30,29,27,31,30,29,29,26,3,3.0,3,36,28
6,1,25,24,23,26,25,25,28,27,26,25,24,1,1.0,1,39,28
7,1,1,1,2,1,2,2,1,2,2,2,1,1,1.0,1,7,48
8,1,15,18,20,15,18,20,15,17,20,18,17,1,1.0,1,18,1
9,1,9,9,11,10,11,12,12,13,14,11,12,-1,0.0,0,10,36
10,1,40,38,36,40,38,36,39,37,35,38,35,3,3.0,3,32,24
11,1,25,25,24,25,25,24,25,25,24,25,25,0,0.0,0,25,46
12,1,6,5,5,7,6,5,8,7,7,6,7,-1,0.0,0,39,39
13,1,40,38,36,40,38,36,39,37,35,38,36,2,2.0,2,32,24
14,1,0,25,25,0,25,25,0,24,24,25,24,1,1.0,1,0,24
15,1,25,24,23,27,26,25,29,27,26,26,27,-1,0.0,0,37,29
16,1,27,28,27,27,27,27,26,26,26,27,26,1,1.0,1,24,9
17,1,22,22,22,23,23,23,24,24,24,23,22,1,1.0,1,3,28
18,1,18,18,18,16,15,15,13,13,13,15,13,2,2.0,2,47,18
19,1,31,30,29,32,31,30,34,33,32,31,31,0,0.0,0,26,36
20,1,2,3,4,2,3,4,2,3,4,3,2,1,1.0,1,9,46
21,1,18,20,22,18,20,21,18,20,21,20,18,2,2.0,2,19,2
22,1,22,23,24,20,21,22,18,19,20,21,20,1,1.0,1,10,19
23,1,25,25,0,25,25,0,24,24,0,25,25,0,0.0,0,49,24
24,1,9,8,8,11,10,10,13,12,12,10,8,2,2.0,2,42,35
25,1,11,13,15,11,13,15,10,12,14,13,11,2,2.0,2,15,8
26,1,26,27,29,24,25,27,22,23,25,25,22,3,3.0,3,12,20
27,1,25,25,25,25,25,25,24,24,24,25,24,1,1.0,1,45,24
28,1,18,20,22,17,19,21,16,18,20,19,20,-1,0.0,0,17,11
29,1,11,9,8,10,9,7,9,8,7,9,7,2,2.0,2,36,10
30,1,41,39,37,42,40,38,43,41,39,40,37,3,3.0,3,30,28
31,1,8,7,5,8,6,5,8,6,5,6,5,1,1.0,1,36,5
32,1,37,39,41,38,40,42,38,40,42,40,39,1,1.0,1,17,26
33,1,50,50,49,50,50,49,50,50,49,50,49,1,1.0,1,25,25
34,1,24,24,24,25,25,25,25,25,25,25,24,1,1.0,1,45,26
35,1,23,23,23,24,24,24,25,25,25,24,23,1,1.0,1,3,27
36,1,4,3,2,4,3,2,4,3,2,3,2,1,1.0,1,39,1
37,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,5,47
38,1,36,34,32,36,34,32,35,33,31,34,31,3,3.0,3,34,24
39,1,26,26,27,26,26,27,26,26,27,26,26,0,0.0,0,7,25
40,1,29,30,31,27,29,30,26,27,29,29,26,3,3.0,3,12,22
41,1,28,26,25,31,29,27,33,31,29,29,25,4,4.0,4,33,31
42,1,4,4,4,5,5,5,6,6,7,5,4,1,1.0,1,4,38
43,1,26,27,27,26,27,28,26,27,27,27,26,1,1.0,1,8,25
44,1,43,42,41,45,44,43,47,46,44,44,41,3,3.0,3,27,29
45,1,49,50,50,48,49,49,47,48,48,49,48,1,1.0,1,23,23
46,1,13,12,11,11,10,9,9,9,8,10,8,2,2.0,2,39,14
47,1,31,31,30,30,29,29,29,28,28,29,28,1,1.0,1,25,12
48,1,4,4,4,5,5,5,6,6,6,5,5,0,0.0,0,1,38
49,1,20,18,16,19,17,15,18,16,14,17,20,-3,0.0,0,32,11
50,1,16,16,16,13,13,14,11,11,12,13,11,2,2.0,2,3,17
51,1,26,25,23,27,25,24,28,26,25,25,26,-1,0.0,0,27,40
52,1,12,12,13,10,10,11,8,8,9,10,8,2,2.0,2,6,15
53,1,1,1,1,1,1,1,1,1,0,1,0,1,1.0,1,45,4
54,1,22,25,27,21,23,25,19,21,23,23,25,-2,0.0,0,17,14
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,48,2
56,1,34,32,31,33,31,30,32,30,29,31,33,-2,0.0,0,35,23
57,1,37,35,33,36,34,32,34,32,31,34,32,2,2.0,2,33,22
58,1,34,34,33,32,32,31,31,31,30,32,33,-1,0.0,0,25,14
59,1,16,17,17,18,19,19,20,21,21,19,17,2,2.0,2,7,31
60,1,5,6,8,5,6,8,5,6,8,6,5,1,1.0,1,12,1
61,1,24,23,21,24,23,22,24,23,22,23,22,1,1.0,1,27,47
62,1,46,46,46,48,48,48,49,49,49,48,46,2,2.0,2,24,28
