22,20,23,12,35,35,13,12,22,18,9,8,9,19,11,44,44,43,44,26,11,21,23,8,9,12,22,15,46,47,46,47,49,40,37,26,15,11,12,13,11,9,33,37,27,12,9,23,18,20
20,8,18,10,37,37,24,15,18,8,8,8,9,18,15,44,44,45,43,43,25,20,23,23,23,22,8,32,44,42,44,47,47,49,39,24,10,11,20,20,19,10,23,35,38,25,12,12,23,23
22,9,18,22,17,30,21,15,16,22,19,17,17,24,16,43,43,45,45,43,43,8,23,25,9,21,39,46,42,44,47,47,49,40,25,15,10,13,21,20,20,10,11,11,11,11,11,11,24,18
9,8,9,22,25,9,11,12,20,10,8,9,8,12,8,26,40,45,45,45,45,27,10,19,42,43,44,45,45,43,44,40,27,18,11,10,10,14,18,20,20,20,22,14,16,23,23,22,23,21
8,8,8,8,8,22,23,14,9,36,46,46,34,11,11,11,9,22,43,43,43,50,42,43,44,45,44,45,45,44,44,32,11,11,13,14,10,11,13,20,20,20,21,20,20,23,9,8,9,12
8,8,8,9,9,9,17,13,22,47,47,47,47,22,11,21,20,15,26,45,44,49,44,42,44,44,45,45,44,45,47,41,12,13,21,21,17,9,9,14,10,10,12,11,24,15,8,8,8,23
21,21,13,9,9,9,9,20,10,38,45,45,39,12,11,22,23,19,11,21,30,26,25,36,43,44,44,44,43,44,42,47,19,11,17,22,23,20,22,13,15,33,40,28,11,20,9,8,9,25
10,8,25,20,9,9,9,8,21,10,23,24,11,11,21,23,23,21,23,14,11,20,23,25,20,14,8,17,44,44,45,45,21,10,22,8,8,8,21,12,40,45,42,44,25,18,18,9,20,10
18,24,12,8,22,9,9,9,10,19,10,13,14,22,21,23,22,20,10,24,19,19,8,9,8,18,22,12,19,45,47,44,21,12,22,9,8,16,24,20,44,44,45,45,40,18,8,23,9,26
39,40,40,36,17,15,12,9,9,9,19,24,13,12,16,24,20,13,12,23,23,8,9,8,19,24,21,12,11,24,38,36,14,12,22,21,22,22,10,39,42,45,44,46,48,42,31,20,18,35
47,46,47,46,42,29,15,14,9,9,22,18,11,25,18,14,13,12,10,20,23,23,22,11,18,31,28,15,14,11,10,10,10,11,11,8,8,11,24,45,42,44,46,45,45,45,45,40,25,25
46,43,45,45,44,43,18,25,13,9,23,12,23,41,48,48,44,23,11,22,22,25,18,43,42,44,47,41,10,19,14,20,10,26,37,37,28,28,39,47,44,41,31,33,45,45,47,45,31,10
47,45,45,45,44,44,26,11,19,23,20,10,25,45,44,47,44,27,15,23,20,12,43,44,45,44,43,44,9,20,8,18,13,19,39,47,46,38,38,29,19,10,10,10,24,40,44,45,40,10
44,44,45,44,44,41,11,21,21,22,22,11,29,49,49,47,42,12,25,22,22,27,43,45,44,44,47,40,10,21,10,23,24,13,11,19,24,22,12,8,22,20,19,22,11,25,39,49,47,31
44,44,44,42,41,11,24,21,22,19,21,12,39,49,49,40,14,14,22,22,11,39,43,45,44,45,33,18,10,10,23,20,24,15,20,25,10,11,25,20,9,8,8,20,13,12,38,49,46,48
45,45,45,45,17,26,15,8,9,19,12,14,40,49,40,26,11,23,23,21,11,39,42,44,43,24,7,11,9,10,10,22,12,9,8,9,19,20,24,8,9,9,9,19,11,21,41,47,47,44
45,44,45,44,10,19,8,8,8,26,11,35,48,41,24,15,11,23,20,21,11,29,43,44,26,19,19,24,10,25,25,9,21,8,9,9,8,20,9,9,9,9,8,20,11,24,46,45,41,44
46,44,44,46,21,21,20,20,19,8,36,48,49,40,26,9,10,14,17,14,11,19,32,21,9,22,10,20,8,25,37,20,12,20,9,9,8,8,9,8,8,9,16,25,10,24,47,45,43,45
44,42,44,46,28,11,18,22,9,34,45,45,45,41,25,9,9,9,11,11,10,24,9,8,19,11,8,22,12,20,37,39,23,10,22,23,9,8,9,22,21,19,18,18,11,24,44,44,45,44
43,46,47,45,27,9,8,12,37,45,44,44,47,45,23,11,11,9,13,25,38,31,10,24,23,9,9,17,9,20,40,49,46,39,13,16,21,17,23,24,9,9,9,10,12,26,42,49,49,48
47,47,46,33,11,10,8,34,45,44,45,45,43,46,10,17,20,11,11,37,48,43,25,8,23,22,22,25,9,25,43,44,47,48,26,10,10,19,19,9,25,37,30,25,25,37,38,39,27,12
44,47,41,11,17,24,10,42,45,44,45,45,44,46,11,21,21,22,10,25,42,46,45,36,14,17,21,9,24,44,46,47,45,39,25,22,18,19,21,32,47,46,45,46,39,38,25,25,9,10
44,47,32,9,20,21,10,29,44,43,45,45,45,46,12,21,23,20,22,11,31,46,47,45,41,16,9,24,43,43,44,43,44,24,9,21,37,48,48,49,49,45,46,46,40,25,25,9,11,15
45,42,20,13,22,19,11,9,25,44,45,45,41,39,11,20,21,23,23,11,16,41,47,43,47,40,37,46,42,45,44,44,43,22,8,10,34,47,48,40,27,35,41,41,38,26,25,23,9,11
45,36,9,10,12,19,14,12,14,12,36,41,31,10,21,20,21,20,12,13,9,15,40,45,46,49,49,47,44,45,45,44,44,25,9,10,16,26,17,8,8,9,14,25,26,25,39,41,36,29
39,11,11,10,25,37,25,7,21,19,26,17,18,23,20,22,22,19,14,15,13,12,14,34,39,39,41,45,42,45,45,44,45,31,10,11,11,11,24,23,22,19,25,8,10,39,44,44,46,46
10,24,23,9,26,34,25,8,22,8,8,23,23,23,23,23,22,22,22,22,20,14,11,26,25,25,24,42,43,44,44,43,44,26,10,20,21,23,8,9,8,10,21,23,10,38,43,45,45,45
